entity1,entity1type,entity2,entit2type,relation
Fragile X syndrome,problem,neurodevelopmental disorder,problem,is
FXS,problem,neurodevelopmental disorder,problem,is
matrix metalloproteinase-9,problem,MMP-9,problem,is
Fragile X syndrome,problem,FXS,problem,is
Fragile X syndrome,problem,developmental disability,problem,is
FXS,problem,developmental disability,problem,is
autism,problem,developmental disability,problem,is
FXS,problem,developmental disability,problem,is
imbalance,problem,GABA,problem,is
brain-derived neurotrophic factor,problem,BDNF,problem,is
fragile X syndrome,problem,FXS,problem,is
fragile X syndrome,problem,FXS,problem,is
FXS,problem,FXS,problem,is
Fragile X syndrome,problem,FXS,problem,is
Fragile X syndrome,problem,genetic disorder,problem,is
Fragile X syndrome,problem,intellectual disability,problem,is
FXS,problem,genetic disorder,problem,is
Fragile X syndrome,problem,FXS,problem,is
Fragile X syndrome,problem,developmental disability,problem,is
FXS,problem,developmental disability,problem,is
fragile X syndrome,problem,FXS,problem,is
FXS,problem,FXS,problem,is
Fragile X syndrome,problem,FXS,problem,is
FXS,problem,FXS,problem,is
FXS,problem,FXS,problem,is
Fragile X syndrome,problem,FXS,problem,is
mental retardation protein,problem,FMRP,problem,is
matrix metallo-proteinase-9 activity,problem,MMP-9,problem,is
Fragile X syndrome,problem,FXS,problem,is
attention deficit hyperactivity disorder,problem,ADHD,problem,is
autistic spectrum disorder,problem,ASD,problem,is
fragile X syndrome,problem,fragile X,problem,is
FXS,problem,FXS,problem,is
fragile X syndrome,problem,FRAX,problem,is
fragile X,problem,FRAX,problem,is
abnormal behavior,problem,MMP-9,problem,PIP
abnormalities,problem,autism,problem,PIP
ADHD,problem,FXS,problem,PIP
ADHD,problem,FXS,problem,PIP
ADHD,problem,FXS,problem,PIP
ADHD,problem,FXS,problem,PIP
ADHD,problem,fragile X syndrome,problem,PIP
ADHD,problem,FXS,problem,PIP
ADHD-hyperactive type,problem,difficulty,problem,PIP
ADHD-hyperactive type,problem,task time,test,PIP
ADHD-hyperactive type,problem,response inhibition,test,PIP
alterations,problem,fragile X syndrome,problem,PIP
Alzheimer disease,problem,Dementia,problem,PIP
anxiety,problem,fragile X syndrome,problem,PIP
anxiety,problem,FXS,problem,PIP
anxiety,problem,FXS,problem,PIP
anxiety,problem,FXS,problem,PIP
anxiety disorders,problem,FXS,problem,PIP
anxiety disorders,problem,psychiatric impairments,problem,PIP
Asperger syndrome,problem,autism,problem,PIP
attention,problem,FXTAS,problem,PIP
attention deficit hyperactivity disorder,problem,ADHD,problem,PIP
attention deficit hyperactivity disorder,problem,ADHD,problem,PIP
attention deficit hyperactivity disorder,problem,FXS,problem,PIP
attention deficit hyperactivity disorder,problem,FXS,problem,PIP
attention deficits,problem,abnormalities,problem,PIP
attention deficits,problem,autism,problem,PIP
attention-deficit/hyperactivity disorder,problem,Fragile X syndrome,problem,PIP
attention-deficit/hyperactivity disorder,problem,FXS,problem,PIP
attention-deficit/hyperactivity disorder,problem,Fragile X syndrome,problem,PIP
Attentional deficits,problem,problems,problem,PIP
Attentional deficits,problem,fra(X),problem,PIP
Attentional deficits,problem,hyperactivity,problem,PIP
Attentional deficits,problem,fra(X),problem,PIP
attentional processes,problem,executive function/dysfunction,problem,PIP
attentional processes,problem,core cognitive deficit,problem,PIP
attentional processes,problem,FXTAS,problem,PIP
autism,problem,developmental disability,problem,PIP
autism,problem,Fragile X syndrome,problem,PIP
autism,problem,FXS,problem,PIP
autism,problem,intellectual disability,problem,PIP
autism,problem,developmental disability,problem,PIP
autism,problem,Fragile X syndrome,problem,PIP
autism,problem,FXS,problem,PIP
autism,problem,Fragile X syndrome,problem,PIP
autism,problem,FXS,problem,PIP
autism,problem,FXS,problem,PIP
autism spectrum disorder,problem,ASD,problem,PIP
autistic behaviors,problem,cognitive disorders,problem,PIP
autistic spectrum disorder,problem,Fragile X syndrome,problem,PIP
autistic spectrum disorder,problem,FXS,problem,PIP
autistic spectrum disorder,problem,transcriptional silencing,problem,PIP
autistic spectrum disorder,problem,intellectual disability,problem,PIP
autistic spectrum disorder,problem,ASD,problem,PIP
autistic-like symptoms,problem,Fragile X syndrome,problem,PIP
autistic-like symptoms,problem,FXS,problem,PIP
autistic-like symptoms,problem,Fragile X syndrome,problem,PIP
autistic-like symptoms,problem,FXS,problem,PIP
avoidance,problem,FXS,problem,PIP
balance abnormalities,problem,FXTAS,problem,PIP
balance abnormalities,problem,FXTAS,problem,PIP
balance abnormalities,problem,FXTAS,problem,PIP
behavior,problem,problem behaviors,problem,PIP
behavior,problem,developmental disorders,problem,PIP
behavior,problem,problem behaviors,problem,PIP
behavior,problem,fragile X syndrome,problem,PIP
behavior,problem,FXS,problem,PIP
behavior disturbances,problem,autism,problem,PIP
behavior disturbances,problem,autism,problem,PIP
behavior problems,problem,fragile X syndrome,problem,PIP
behavior problems,problem,fragile X syndrome,problem,PIP
behavioral deficits,problem,fragile X syndrome,problem,PIP
behavioral deficits,problem,FXS,problem,PIP
behavioral deficits,problem,fragile X syndrome,problem,PIP
behavioral deficits,problem,FXS,problem,PIP
behavioral deficits,problem,fragile X syndrome,problem,PIP
behavioral deficits,problem,FRAX,problem,PIP
behavioral outcomes,problem,fragile X syndrome,problem,PIP
behavioral outcomes,problem,FXS,problem,PIP
behavioral problems,problem,parenting stress,problem,PIP
behavioral problems,problem,parenting stress,problem,PIP
behavioral problems,problem,Fragile X syndrome,problem,PIP
behavioral problems,problem,FXS,problem,PIP
behavioral problems,problem,Fragile X syndrome,problem,PIP
behavioral problems,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,Fragile X syndrome,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,impairment,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,Fragile X syndrome,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,Fragile X syndrome,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioral symptoms,problem,FXS,problem,PIP
behavioural,problem,FXS,problem,PIP
behavioural abnormalities,problem,FXS,problem,PIP
behavioural abnormalities,problem,FXS,problem,PIP
block excitotoxic,problem,glutamate,problem,PIP
brain activity,problem,FXTAS,problem,PIP
brain development,problem,fragile X syndrome,problem,PIP
brain development,problem,FXS,problem,PIP
causative mutation,problem,fragile X syndrome,problem,PIP
causative mutation,problem,fragile X syndrome,problem,PIP
cerebellar ataxia,problem,Fragile X-associated tremor/ataxia syndrome,problem,PIP
cerebellar ataxia,problem,FXTAS,problem,PIP
cerebellar ataxia,problem,neurodegenerative disorder,problem,PIP
cerebellar ataxia,problem,Fragile X-associated tremor/ataxia syndrome,problem,PIP
cerebellar ataxia,problem,FXTAS,problem,PIP
cerebellar ataxia,problem,neurodegenerative disorder,problem,PIP
cerebellar ataxia,problem,Fragile X-associated tremor/ataxia syndrome,problem,PIP
cerebellar ataxia,problem,FXTAS,problem,PIP
cerebellar ataxia,problem,neurodegenerative disorder,problem,PIP
clinical symptoms,problem,FXTAS,problem,PIP
cognitive decline,problem,Fragile X-associated tremor/ataxia syndrome,problem,PIP
cognitive decline,problem,FXTAS,problem,PIP
cognitive decline,problem,neurodegenerative disorder,problem,PIP
cognitive decline,problem,FXTAS,problem,PIP
cognitive decline,problem,Fragile X-associated tremor/ataxia syndrome,problem,PIP
cognitive decline,problem,FXTAS,problem,PIP
cognitive decline,problem,neurodegenerative disorder,problem,PIP
