entity1,entity1type,entity2,entit2type,relation
Fragile X syndrome,problem,neurodevelopmental disorder,problem,is
FXS,problem,neurodevelopmental disorder,problem,is
matrix metalloproteinase-9,problem,MMP-9,problem,is
Fragile X syndrome,problem,FXS,problem,is
Fragile X syndrome,problem,developmental disability,problem,is
FXS,problem,developmental disability,problem,is
autism,problem,developmental disability,problem,is
FXS,problem,developmental disability,problem,is
imbalance,problem,GABA,problem,is
brain-derived neurotrophic factor,problem,BDNF,problem,is
fragile X syndrome,problem,FXS,problem,is
fragile X syndrome,problem,FXS,problem,is
FXS,problem,FXS,problem,is
Fragile X syndrome,problem,FXS,problem,is
Fragile X syndrome,problem,genetic disorder,problem,is
Fragile X syndrome,problem,intellectual disability,problem,is
FXS,problem,genetic disorder,problem,is
Fragile X syndrome,problem,FXS,problem,is
Fragile X syndrome,problem,developmental disability,problem,is
FXS,problem,developmental disability,problem,is
fragile X syndrome,problem,FXS,problem,is
FXS,problem,FXS,problem,is
Fragile X syndrome,problem,FXS,problem,is
FXS,problem,FXS,problem,is
FXS,problem,FXS,problem,is
Fragile X syndrome,problem,FXS,problem,is
mental retardation protein,problem,FMRP,problem,is
matrix metallo-proteinase-9 activity,problem,MMP-9,problem,is
Fragile X syndrome,problem,FXS,problem,is
attention deficit hyperactivity disorder,problem,ADHD,problem,is
autistic spectrum disorder,problem,ASD,problem,is
fragile X syndrome,problem,fragile X,problem,is
FXS,problem,FXS,problem,is
fragile X syndrome,problem,FRAX,problem,is
fragile X,problem,FRAX,problem,is
