entity1,entity1type,entity2,entit2type,relation
memantine,treatment,executive function/dysfunction,problem,TrCP
mGluR5 antagonist,treatment,behavioral symptoms,problem,TrCP
treatment,treatment,side effects,problem,TrCP
phosphodiesterase-4D (,test,FXS,problem,TrCP
treatment,treatment,parenting stress,problem,TrCP
treatment,treatment,parenting stress,problem,TrCP
FCT,treatment,problem behavior,problem,TrCP
FCT,treatment,irritability,problem,TrCP
treatment,treatment,problem behavior,problem,TrCP
treatment,treatment,fragile X,problem,TrCP
EGCG,treatment,FXS,problem,TrCP
CT,treatment,FXS,problem,TrCP
EGCG,treatment,cognition,problem,TrCP
EGCG,treatment,cognition,problem,TrCP
CT,treatment,cognition,problem,TrCP
CT,treatment,cognition,problem,TrCP
EGCG,treatment,cognition,problem,TrCP
treatment,treatment,compulsive behavior,problem,TrCP
Allopregnanolone treatment,treatment,GABA metabolism,problem,TrCP
allopregnanolone treatment,treatment,GABA metabolism,problem,TrCP
mGluR5-negative allosteric modulators,treatment,FXS,problem,TrCP
NAMs,treatment,FXS,problem,TrCP
allopregnanolone,treatment,brain activity,problem,TrCP
allopregnanolone,treatment,executive function,problem,TrCP
allopregnanolone,treatment,cognitive functioning,problem,TrCP
memantine,treatment,cognitive symptoms,problem,TrCP
Acamprosate,treatment,inattention/hyperactivity,problem,TrCP
minocycline,treatment,anxiety,problem,TrCP
minocycline,treatment,anxiety,problem,TrCP
minocycline,treatment,FXS,problem,TrCP
Minocycline,treatment,behavior,problem,TrCP
minocycline,treatment,mood-related behaviors,problem,TrCP
minocycline,treatment,mood-related behaviors,problem,TrCP
propofol,treatment,FXS,problem,TrCP
OT,treatment,social anxiety,problem,TrCP
minocycline,treatment,neural defects,problem,TrCP
minocycline,treatment,behavioural abnormalities,problem,TrCP
VPA,treatment,adaptive behavior,problem,TrCP
melatonin,treatment,sleep problems,problem,TrCP
melatonin,treatment,sleep problems,problem,TrCP
fenobam,treatment,FXS,problem,TrCP
mGluR5 antagonists,treatment,FXS,problem,TrCP
low-dose sertraline,treatment,FXS,problem,TrCP
Sertraline,treatment,side effects,problem,TrCP
sertraline,treatment,side effects,problem,TrCP
Treatment,treatment,side effects,problem,TrCP
treatment,treatment,FXS,problem,TrCP
sertraline,treatment,FXS,problem,TrCP
fenobam,treatment,adverse reactions,problem,TrCP
fenobam,treatment,adverse effects,problem,TrCP
