entity1,entity1type,entity2,entit2type,relation
folinic acid therapy,treatment,Fragile X,problem,TrAP
folinic acid therapy,treatment,fra(x,problem,TrAP
dl-Leucovorin,treatment,Fragile X,problem,TrAP
dl-Leucovorin,treatment,fra(x,problem,TrAP
folinic acid therapy,treatment,Fragile X,problem,TrAP
medication,treatment,Fragile X,problem,TrAP
folic acid,treatment,fragile X syndrome,problem,TrAP
treatment,treatment,fragile X syndrome,problem,TrAP
folic acid,treatment,fragile X,problem,TrAP
folic acid,treatment,fragile X,problem,TrAP
stimulant,treatment,fra(X) syndrome,problem,TrAP
medications,treatment,fra(X) syndrome,problem,TrAP
methylphenidate,treatment,fra(X) syndrome,problem,TrAP
dextroamphetamine,treatment,fra(X) syndrome,problem,TrAP
oral folic acid,treatment,infantile autism,problem,TrAP
oral folic acid,treatment,fragile-X syndrome,problem,TrAP
folic acid,treatment,fragile-X syndrome,problem,TrAP
treatment,treatment,fragile-X syndrome,problem,TrAP
folic acid,treatment,fragile X syndrome,problem,TrAP
fragile X,problem,folic acid,treatment,TrAP
folic acid,treatment,mental impairment,problem,TrAP
folic acid,treatment,mental impairment,problem,TrAP
folic acid,treatment,fra(X,problem,TrAP
folic acid,treatment,fra(X,problem,TrAP
Folate,treatment,fra(X),problem,TrAP
Folate,treatment,disorder,problem,TrAP
treatment,treatment,fra(X),problem,TrAP
treatment,treatment,disorder,problem,TrAP
high-dose folic acid,treatment,fra(X) syndrome,problem,TrAP
high-dose folic acid,treatment,fra(X) syndrome,problem,TrAP
treatment,treatment,fra(X) syndrome,problem,TrAP
folic acid,treatment,fragile X syndrome,problem,TrAP
folic acid,treatment,fra(X) positive,problem,TrAP
folic acid,treatment,X-linked mental retardation,problem,TrAP
folic acid,treatment,XLMR,problem,TrAP
folic acid,treatment,fra(X) positive cells,problem,TrAP
FUdR induction system,test,fra(X) positive cells,problem,TrAP
randomized controlled trial,treatment,FXTAS,problem,TrAP
NMDA,treatment,FXTAS,problem,TrAP
memantine,treatment,FXTAS,problem,TrAP
memantine,treatment,FXTAS,problem,TrAP
memantine,treatment,FXTAS,problem,TrAP
disease-modifying therapies,treatment,FXTAS,problem,TrAP
mGluR5 antagonist,treatment,FXS,problem,TrAP
mavoglurant,treatment,behavioral symptoms,problem,TrAP
mavoglurant,treatment,FXS,problem,TrAP
mavoglurant,treatment,behavioral symptoms,problem,TrAP
pharmacological,treatment,fragile X syndrome,problem,TrAP
treatment,treatment,fragile X syndrome,problem,TrAP
lovastatin,treatment,FXS,problem,TrAP
treatment,treatment,FXS,problem,TrAP
placebo-controlled trial,treatment,FXS,problem,TrAP
lovastatin,treatment,FXS,problem,TrAP
phosphodiesterase-4D (,test,cognitive function,problem,TrAP
phosphodiesterase-4D (,test,behavioral outcomes,problem,TrAP
PDE4D,treatment,cognitive function,problem,TrAP
PDE4D,treatment,behavioral outcomes,problem,TrAP
allosteric inhibitor,treatment,cognitive function,problem,TrAP
allosteric inhibitor,treatment,behavioral outcomes,problem,TrAP
allosteric inhibitor,treatment,fragile X syndrome,problem,TrAP
allosteric inhibitor,treatment,FXS,problem,TrAP
FXS,problem,treatments,treatment,TrAP
treatments,treatment,FXS,problem,TrAP
analytic intervention,treatment,behavior,problem,TrAP
functional communication training,treatment,behavior,problem,TrAP
FCT,treatment,behavior,problem,TrAP
telehealth,treatment,behavior,problem,TrAP
analytic intervention,treatment,problem behaviors,problem,TrAP
analytic intervention,treatment,FXS,problem,TrAP
functional communication training,treatment,problem behaviors,problem,TrAP
functional communication training,treatment,FXS,problem,TrAP
FCT,treatment,problem behaviors,problem,TrAP
FCT,treatment,FXS,problem,TrAP
telehealth,treatment,problem behaviors,problem,TrAP
telehealth,treatment,FXS,problem,TrAP
FCT,treatment,FXS,problem,TrAP
FXS,problem,treatment,treatment,TrAP
FCT,treatment,problem behaviors,problem,TrAP
telehealth,treatment,problem behaviors,problem,TrAP
treatment,treatment,problem behaviors,problem,TrAP
FCT,treatment,behavioral problems,problem,TrAP
treatment,treatment,behavioral problems,problem,TrAP
intervention,treatment,behavioral problems,problem,TrAP
FCT,treatment,problem behaviors,problem,TrAP
FCT,treatment,FXS,problem,TrAP
treatments,treatment,problem behaviors,problem,TrAP
treatments,treatment,FXS,problem,TrAP
analytic treatment,treatment,behavior,problem,TrAP
telehealth,treatment,behavior,problem,TrAP
analytic treatment,treatment,problem behavior,problem,TrAP
telehealth,treatment,problem behavior,problem,TrAP
telehealth,treatment,neurodevelopmental disorders,problem,TrAP
treatment,treatment,problem behavior,problem,TrAP
treatment,treatment,neurodevelopmental disorders,problem,TrAP
trofinetide,treatment,fragile X syndrome,problem,TrAP
trofinetide,treatment,fragile X syndrome,problem,TrAP
Trofinetide,treatment,fragile X syndrome,problem,TrAP
trofinetide,treatment,core fragile X syndrome,problem,TrAP
treatment,treatment,core fragile X syndrome,problem,TrAP
lovastatin,treatment,fragile X syndrome,problem,TrAP
lovastatin,treatment,FXS,problem,TrAP
parent-implemented language intervention,treatment,fragile X syndrome,problem,TrAP
PILI,treatment,fragile X syndrome,problem,TrAP
teleconferencing,treatment,fragile X syndrome,problem,TrAP
lovastatin,treatment,fragile X syndrome,problem,TrAP
parent-implemented language intervention,treatment,FXS,problem,TrAP
PILI,treatment,FXS,problem,TrAP
teleconferencing,treatment,FXS,problem,TrAP
lovastatin,treatment,FXS,problem,TrAP
citicoline,treatment,tremor,problem,TrAP
citicoline,treatment,balance abnormalities,problem,TrAP
citicoline,treatment,cognitive decline,problem,TrAP
citicoline,treatment,FXTAS,problem,TrAP
treatment,treatment,tremor,problem,TrAP
treatment,treatment,balance abnormalities,problem,TrAP
treatment,treatment,cognitive decline,problem,TrAP
treatment,treatment,FXTAS,problem,TrAP
citicoline,treatment,FXTAS,problem,TrAP
citicoline,treatment,FXTAS,problem,TrAP
treatment,treatment,Fragile-X syndrome,problem,TrAP
treatment,treatment,FXS,problem,TrAP
EGCG,treatment,FXS,problem,TrAP
cognitive training,treatment,FXS,problem,TrAP
CT,treatment,FXS,problem,TrAP
EGCG,treatment,FXS,problem,TrAP
EGCG,treatment,FXS,problem,TrAP
CT,treatment,FXS,problem,TrAP
EGCG,treatment,cognition,problem,TrAP
EGCG,treatment,FXS,problem,TrAP
Cannabidiol,treatment,FXS,problem,TrAP
Cannabidiol,treatment,behavioral symptoms,problem,TrAP
Cannabidiol,treatment,FXS,problem,TrAP
CBD,treatment,FXS,problem,TrAP
CBD,treatment,behavioral symptoms,problem,TrAP
